"macrophage_cells","AIF1","MS4A6A","HLA-DQA1","CD14","IL1B","LYZ","CYBB","HLA-DQB1","PLEK","HLA-DPA1","HLA-DPB1","HLA-DRB5","HLA-DRB6","","","","","","","","","","","","",""
"granulosa_cells","FSHR","CYP19A1","AMH","	MGARP","GLDC","CHST8","GPX3","	FOXL2","MCAM","INHA","","","","","","","","","","","","","","","",""
"theca_cells","CYP17A1","	INSL3","FBLN5","	OGN","RAMP2","","","","","","","","","","","","","","","","","","","","",""
"mesothelial_cells","FRAS1","RSPO1","MSLN","	LRRN4","CALB2","","","","","","","","","","","","","","","","","","","","",""
"b_lymphocyte","MS4A1","CD79A","PTPRC","CD19","BANK1","CD24","IGKC","","","","","","","","","","","","","","","","","","",""
"t_lymphocyte","CD4","PTPRC","CD2","CD3G","CD3D","CD28","CD3E","","","","","","","","","","","","","","","","","","",""
"cytotoxic_t","PTPRC","NKG7","CD2","GZMA","CD8A","CD3G","CD3D","CD28","PRF1","CD3E","","","","","","","","","","","","","","","",""
"monocyte","CD4","PTPRC","LYZ","CD33","ITGAX","ITGAM","CD14","FCGR3A","","","","","","","","","","","","","","","","","",""
"epithelial","FUT4","EPCAM","CDH1","CLDN3","CLDN4","KRT8","KRT18","KRT19","RPS3","KRT7","HMGA1","TUBB","TPM4","S100A16","MMP7","MARCKSL1","MDK","LCN2","","","","","","","",""
"myofibroblast","ACTA2","COL1A1","SERPINH1","COL3A1","","","","","","","","","","","","","","","","","","","","","",""
"vascular_smooth_muscle","MYLK","MCAM","ACTA2","COL1A1","MYH11","SERPINH1","COL3A1","PLN","","","","","","","","","","","","","","","","","",""
"endothelial","MCAM","VWF","SERPINH1","EMCN","CLEC14A","CDH5","PECAM1","","","","","","","","","","","","","","","","","","",""
"plasma_b","CD79A","PTPRC","SDC1","IGKC","IGHG1","IGHG2","CAV1","","","","","","","","","","","","","","","","","","",""
"epithelial_ciliated","FUT4","EPCAM","CDH1","CLDN3","CLDN4","KRT8","KRT18","KRT19","FOXJ1","DYDC2","SNTN","WDR16","FAM92B","C20orf85","TPPP3","C9orf24","OMG","IGFBP7","FAM183A","RSPH1","C1orf194","C5orf49","RP11-356K23.1","","",""
"endometrial_stem","ABCG2","ENG","VCAM1","KIT","PROM1","CD140b","MCAM","CD166","ITGB1","PECAM1","CD34","CD44","PTPRC","ITGA4","ICAM1","NT5E","THY1","IPO13","LGR5","MSI1","NES","POU5F1","SOX2","SSEA4","",""
"mesenchymal_stem","ENG","THY1","ALCAM","CD34","PTPRC","NT5E","","","","","","","","","","","","","","","","","","","",""
"ovarian_cancer","PAX8","WT1","STMN1","MUC16","KL6","KL7","KL8","","","","","","","","","","","","","","","","","","",""
"mesenchymal_cells","CD44","CDH2","ITGA5","VIM","FN1","S100A4","TNC","MMP2","ACTA2","TWIST1","WNT5A","SNAI2","ZEB1","ZEB2","","","","","","","","","","","",""
"epithelial.1","EPCAM","CDH1","CLDN3","CLDN4","KRT7","KRT8","KRT18","KRT19","FUT4","","","","","","","","","","","","","","","","",""
"epithelial_unciliated","EPCAM","KRT7","KRT8","KRT18","PAX8","OVGP1","KRT19","LCN2","WFDC2","KLF5","SDC4","UCA1","TACSTD2","LINC01541","ELF3","C1orf186","DSP","CLDN4","PERP","KRT18","CD9","USP53","CDH1","CLDN3","FUT4",""
"epithelial_ciliated.1","EPCAM","KRT7","KRT8","KRT18","FOXJ1","CAPS","DYDC2","CTH","TP73","SNTN","WDR16","FAM92B","C20orf85","C20orf88","TPPP3","C9orf24","FAM183A","C1orf194","PIFO","CDH1","CLDN3","CLDN4","FUT4","","",""
"endothelial.1","VWF","PECAM1","MCAM","EMCN","CLEC14A","CDH5","ADGRL4","PCDH17","RNASE1","","","","","","","","","","","","","","","","",""
"stromal_fibroblast","DCN","COL6A1","CRISPLD2","COL6A3","LUM","COL5A1","","","","","","","","","","","","","","","","","","","",""
"vasular_smooth_muscle","MYLK","ACTA2","MYH11","PLN","SMTN","CNN1","","","","","","","","","","","","","","","","","","","",""
"lymphocyte","MS4A1","CD79A","PTPRC","CD19","BANK1","CD24","IGKC","CD4","CD2","CD3G","CD3D","CD28","CD3E","CCL5","STK17B","","","","","","","","","","",""
"mesenchymal_stem.1","ENG","THY1","ALCAM","NT5E","","","","","","","","","","","","","","","","","","","","","",""
"ovarian_cancer.1","PAX8","WT1","MUC16","KL6","KL7","KL8","","","","","","","","","","","","","","","","","","","",""
"NEWepithelial_unciliated","EPCAM","KRT7","KRT8","KRT18","PAX8","OVGP1","KRT19","LCN2","WFDC2","KLF5","SDC4","UCA1","TACSTD2","LINC01541","ELF3","C1orf186","DSP","CLDN4","PERP","KRT18","CD9","USP53","CDH1","CLDN3","CLDN4","FUT4"
"NEWepithelial_ciliated","EPCAM","KRT7","KRT8","KRT18","FOXJ1","CAPS","DYDC2","CTH","TP73","SNTN","WDR16","FAM92B","C20orf85","C20orf88","TPPP3","C9orf24","FAM183A","C1orf194","PIFO","CDH1","CLDN3","CLDN4","FUT4","","",""
